count,name,no_failed_count,failed_count
3995952,ST12000NM0007,3995718,234
2577323,ST4000DM000,2577184,139
1725514,ST8000NM0055,1725430,84
1184962,ST8000DM002,1184929,33
62274,TOSHIBA MQ01ABF050,62253,21
1555274,HGST HMS5C4040BLE640,1555259,15
65693,ST500LM012 HN,65681,12
20591,ST500LM030,20582,9
405904,HGST HUH721212ALN604,405899,5
43935,TOSHIBA MQ01ABF050M,43930,5
389982,HGST HMS5C4040ALE640,389978,4
144577,ST10000NM0086,144573,4
28301,WDC WD5000LPVX,28298,3
123528,HGST HUH728080ALE600,123525,3
6540,WDC WD5000LPCX,6538,2
162823,ST6000DX000,162821,2
30828,WDC WD60EFRX,30827,1
363,ST8000DM004,362,1
29640,HGST HUH721212ALE600,29639,1
24,ST250LM004 HN,24,0
14,ST3160318AS,14,0
29,Hitachi HDS724040ALE640,29,0
29,WDC WD3200BEKX,29,0
42,ST3160316AS,42,0
502,ST500LM021,502,0
88,WDC WD2500AAJS,88,0
94,WDC WD40EFRX,94,0
120,ST1000LM024 HN,120,0
120,HGST HMS5C4040BLE641,120,0
212,ST6000DM004,212,0
251,WDC WD1600AAJS,251,0
355,Seagate BarraCuda SSD ZA2000CM10002,355,0
85,ST320LT007,85,0
3000,ST8000DM005,3000,0
656,Hitachi HDS5C4040ALE630,656,0
956,TOSHIBA HDWE160,956,0
1140,DELLBOSS VD,1140,0
1233,ST6000DM001,1233,0
1282,WDC WD5000BPKT,1282,0
1823,HGST HUH721010ALE600,1823,0
2098,Seagate BarraCuda SSD ZA500CM10002,2098,0
2398,TOSHIBA HDWF180,2398,0
3438,HGST HUS726040ALE610,3438,0
3897,HGST HDS5C4040ALE630,3897,0
4230,TOSHIBA MD04ABA500V,4230,0
6038,ST4000DM005,6038,0
15632,TOSHIBA MD04ABA400V,15632,0
146004,TOSHIBA MG07ACA14TA,146004,0
3,WDC WD3200AAJS,3,0
